
映像名称                       PID 会话名              会话#       内存使用 
QQExternal.exe               10068 Console                    1      9,436 K
SohuNews.exe                 11088 Console                    1     72,108 K
WUDFHost.exe                 11108 Services                   0      7,672 K
taskmgr.exe                   4372 Console                    1     14,828 K
audiodg.exe                   4108 Services                   0     15,812 K
chromedriver.exe             10732 Console                    1     13,956 K
conhost.exe                   8124 Console                    1      3,988 K
chromedriver.exe             10576 Console                    1     13,976 K
conhost.exe                   8732 Console                    1      3,920 K
chromedriver.exe              1408 Console                    1     13,952 K
conhost.exe                  12820 Console                    1      4,048 K
javaw.exe                    11384 Console                    1     67,540 K
chromedriver.exe              7632 Console                    1     14,180 K
conhost.exe                    608 Console                    1      4,016 K
SearchFilterHost.exe          5420 Services                   0      6,444 K
chromedriver.exe             11012 Console                    1     14,084 K
conhost.exe                   9924 Console                    1      4,032 K
chromedriver.exe              9476 Console                    1     14,368 K
conhost.exe                  12872 Console                    1      4,052 K
cmd.exe                       8888 Console                    1      3,416 K
conhost.exe                  11072 Console                    1      6,904 K
adb.exe                      11216 Console                    1      4,288 K
cmd.exe                      10336 Console                    1      3,364 K
conhost.exe                  12624 Console                    1      6,600 K
tasklist.exe                  8804 Console                    1      6,020 K
