
映像名称                       PID 会话名              会话#       内存使用 
AndroidInterface.exe          8092 Console                    1      7,480 K
conhost.exe                   4180 Console                    1      3,816 K
360MobileMgr.exe              6252 Console                    1      8,868 K
360MobileMgr.exe              2552 Console                    1     24,180 K
cmd.exe                       4552 Console                    1      3,752 K
conhost.exe                   4428 Console                    1      6,416 K
java.exe                      6524 Console                    1    108,724 K
conhost.exe                   7120 Console                    1      6,312 K
cmd.exe                       2756 Console                    1      3,728 K
conhost.exe                   1672 Console                    1      6,444 K
java.exe                       916 Console                    1     92,532 K
chromedriver.exe              3908 Console                    1      7,672 K
conhost.exe                   4508 Console                    1      3,812 K
chrome.exe                    6056 Console                    1     76,912 K
chrome.exe                    8860 Console                    1     65,140 K
chrome.exe                    9032 Console                    1     27,736 K
chrome.exe                    8288 Console                    1     59,628 K
chromedriver.exe               944 Console                    1     11,756 K
conhost.exe                   8380 Console                    1      3,780 K
chromedriver.exe              3344 Console                    1     12,168 K
conhost.exe                   2096 Console                    1      3,840 K
cmd.exe                       8412 Console                    1      3,304 K
conhost.exe                   7392 Console                    1      6,572 K
adb.exe                       7092 Console                    1      4,256 K
SearchFilterHost.exe          8552 Services                   0      6,460 K
javaw.exe                     9180 Console                    1     67,364 K
cmd.exe                       7676 Console                    1      3,396 K
conhost.exe                   8276 Console                    1      6,628 K
adb.exe                       9156 Console                    1      4,232 K
chromedriver.exe              3288 Console                    1      7,384 K
conhost.exe                   8420 Console                    1      3,936 K
chrome.exe                    6104 Console                    1     70,692 K
chrome.exe                    7984 Console                    1     65,500 K
chrome.exe                    5688 Console                    1     25,176 K
chrome.exe                    8624 Console                    1     25,176 K
chrome.exe                    9164 Console                    1     25,600 K
chrome.exe                    8232 Console                    1     25,316 K
chrome.exe                    2276 Console                    1     23,968 K
chrome.exe                    6480 Console                    1     63,772 K
cmd.exe                       8792 Console                    1      3,304 K
conhost.exe                   1404 Console                    1      6,356 K
tasklist.exe                  5156 Console                    1      5,924 K
